user_id,time,event_name,skill,value
0Tg9Xd2V45LNcJQqj0NERA,1569946576,Configuration Set,Giving Recognition,neutral
0Tg9Xd2V45LNcJQqj0NERA,1569946585,Configuration Set,Soliciting Opinions,neutral
0Tg9Xd2V45LNcJQqj0NERA,1569946589,Configuration Set,Giving Opinions,neutral
0Tg9Xd2V45LNcJQqj0NERA,1569946592,Configuration Set,Positivity : Negativity Ratio,neutral
0Tg9Xd2V45LNcJQqj0NERA,1569946595,Configuration Set,Avoiding After-Hours Messaging,neutral
0Zm9-4lzrfzNlpvD0W0niA,1568906729,Proximity Set,,
0Zm9-4lzrfzNlpvD0W0niA,1568906763,Work Hours Set,,
0Zm9-4lzrfzNlpvD0W0niA,1569279410,Configuration Set,Responsiveness,neutral
0Zm9-4lzrfzNlpvD0W0niA,1569279414,Configuration Set,Communication Frequency,neutral
0Zm9-4lzrfzNlpvD0W0niA,1569279423,Configuration Set,1 on 1 Meeting Time,neutral
0Zm9-4lzrfzNlpvD0W0niA,1569279433,Configuration Set,Giving Recognition,neutral
0Zm9-4lzrfzNlpvD0W0niA,1569279443,Configuration Set,Soliciting Opinions,neutral
0Zm9-4lzrfzNlpvD0W0niA,1569279450,Configuration Set,Giving Opinions,neutral
0Zm9-4lzrfzNlpvD0W0niA,1569279472,Configuration Set,Positivity : Negativity Ratio,neutral
0Zm9-4lzrfzNlpvD0W0niA,1569279479,Configuration Set,Avoiding After-Hours Messaging,neutral
0kz3zLhsSz68bd_WvN9xBw,1568901793,Group Members Excluded,,
0kz3zLhsSz68bd_WvN9xBw,1568901796,Proximity Set,,
0kz3zLhsSz68bd_WvN9xBw,1568901830,Work Hours Set,,
0kz3zLhsSz68bd_WvN9xBw,1569506339,Configuration Set,Responsiveness,neutral
0kz3zLhsSz68bd_WvN9xBw,1569506351,Configuration Set,Communication Frequency,neutral
0kz3zLhsSz68bd_WvN9xBw,1569506365,Configuration Set,1 on 1 Meeting Time,neutral
0kz3zLhsSz68bd_WvN9xBw,1569506376,Configuration Set,Giving Recognition,neutral
0kz3zLhsSz68bd_WvN9xBw,1569506386,Configuration Set,Soliciting Opinions,neutral
0kz3zLhsSz68bd_WvN9xBw,1569506390,Configuration Set,Giving Opinions,neutral
0kz3zLhsSz68bd_WvN9xBw,1569506406,Configuration Set,Positivity : Negativity Ratio,neutral
0kz3zLhsSz68bd_WvN9xBw,1569506414,Configuration Set,Avoiding After-Hours Messaging,neutral
1RDIpi1j5x6n9s_g1gw6Ag,1569256774,Proximity Set,,
1RDIpi1j5x6n9s_g1gw6Ag,1569256788,Proximity Set,,
1RDIpi1j5x6n9s_g1gw6Ag,1569256798,Work Hours Set,,
1RDIpi1j5x6n9s_g1gw6Ag,1569449827,Configuration Set,Responsiveness,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569269256,Proximity Set,,
1_Fjzbq7YOWKRDZRquIFfw,1569269264,Work Hours Set,,
1_Fjzbq7YOWKRDZRquIFfw,1569421572,Configuration Set,Responsiveness,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569421578,Configuration Set,Communication Frequency,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569421587,Configuration Set,1 on 1 Meeting Time,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569421599,Configuration Set,Giving Recognition,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569421606,Configuration Set,Soliciting Opinions,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569421617,Configuration Set,Giving Opinions,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569421637,Configuration Set,Positivity : Negativity Ratio,neutral
1_Fjzbq7YOWKRDZRquIFfw,1569421646,Configuration Set,Avoiding After-Hours Messaging,neutral
1i2L6y23yOmyS5loj2XRBg,1568826920,Proximity Set,,
1i2L6y23yOmyS5loj2XRBg,1568826931,Work Hours Set,,
1i2L6y23yOmyS5loj2XRBg,1568907783,Configuration Set,Responsiveness,neutral
1i2L6y23yOmyS5loj2XRBg,1568907802,Configuration Set,Communication Frequency,neutral
1i2L6y23yOmyS5loj2XRBg,1568907817,Configuration Set,1 on 1 Meeting Time,neutral
1i2L6y23yOmyS5loj2XRBg,1568907842,Configuration Set,Giving Recognition,neutral
1i2L6y23yOmyS5loj2XRBg,1568907850,Configuration Set,Soliciting Opinions,neutral
1i2L6y23yOmyS5loj2XRBg,1568907856,Configuration Set,Giving Opinions,neutral
1i2L6y23yOmyS5loj2XRBg,1568907878,Configuration Set,Positivity : Negativity Ratio,neutral
1i2L6y23yOmyS5loj2XRBg,1568907884,Configuration Set,Avoiding After-Hours Messaging,neutral
1rqKnpAPPLfBXzTGYQAAcg,1570568418,Proximity Set,,
1rqKnpAPPLfBXzTGYQAAcg,1570568426,Work Hours Set,,
30zyIoHOiTXxI328nYRKPQ,1569533361,Proximity Set,,
30zyIoHOiTXxI328nYRKPQ,1569533376,Proximity Set,,
30zyIoHOiTXxI328nYRKPQ,1569533407,Work Hours Set,,
30zyIoHOiTXxI328nYRKPQ,1569598775,Configuration Set,Responsiveness,low
30zyIoHOiTXxI328nYRKPQ,1569598779,Configuration Set,Communication Frequency,neutral
30zyIoHOiTXxI328nYRKPQ,1569598786,Configuration Set,1 on 1 Meeting Time,neutral
30zyIoHOiTXxI328nYRKPQ,1569598865,Configuration Set,Giving Recognition,high
30zyIoHOiTXxI328nYRKPQ,1569598877,Configuration Set,Soliciting Opinions,neutral
30zyIoHOiTXxI328nYRKPQ,1569598883,Configuration Set,Giving Opinions,neutral
30zyIoHOiTXxI328nYRKPQ,1569598946,Configuration Set,Positivity : Negativity Ratio,neutral
30zyIoHOiTXxI328nYRKPQ,1569598982,Configuration Set,Avoiding After-Hours Messaging,neutral
38eS-hh5xjE8eYWqUqkqyA,1574184891,Work Hours Set,,
38eS-hh5xjE8eYWqUqkqyA,1574196388,Configuration Set,Responsiveness,neutral
38eS-hh5xjE8eYWqUqkqyA,1574196401,Configuration Set,Communication Frequency,neutral
38eS-hh5xjE8eYWqUqkqyA,1574196438,Configuration Set,1 on 1 Meeting Time,neutral
38eS-hh5xjE8eYWqUqkqyA,1574196450,Configuration Set,Giving Recognition,neutral
38eS-hh5xjE8eYWqUqkqyA,1574196460,Configuration Set,Soliciting Opinions,neutral
38eS-hh5xjE8eYWqUqkqyA,1574196468,Configuration Set,Giving Opinions,neutral
38eS-hh5xjE8eYWqUqkqyA,1574196488,Configuration Set,Positivity : Negativity Ratio,neutral
38eS-hh5xjE8eYWqUqkqyA,1574196497,Configuration Set,Avoiding After-Hours Messaging,neutral
499XnwUcT34Dm_v8JEWbtg,1568818581,Proximity Set,,
499XnwUcT34Dm_v8JEWbtg,1568818608,Work Hours Set,,
499XnwUcT34Dm_v8JEWbtg,1568992554,Configuration Set,Responsiveness,neutral
499XnwUcT34Dm_v8JEWbtg,1568992569,Configuration Set,Communication Frequency,neutral
499XnwUcT34Dm_v8JEWbtg,1568992580,Configuration Set,1 on 1 Meeting Time,neutral
499XnwUcT34Dm_v8JEWbtg,1568992593,Configuration Set,Giving Recognition,neutral
499XnwUcT34Dm_v8JEWbtg,1568992600,Configuration Set,Soliciting Opinions,neutral
499XnwUcT34Dm_v8JEWbtg,1568992608,Configuration Set,Giving Opinions,neutral
499XnwUcT34Dm_v8JEWbtg,1568992625,Configuration Set,Positivity : Negativity Ratio,neutral
499XnwUcT34Dm_v8JEWbtg,1568992633,Configuration Set,Avoiding After-Hours Messaging,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1568842486,Proximity Set,,
4lkOk8YRuv73AhsXp8Q0gQ,1568842498,Work Hours Set,,
4lkOk8YRuv73AhsXp8Q0gQ,1569248788,Configuration Set,Responsiveness,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1569248797,Configuration Set,Communication Frequency,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1569248804,Configuration Set,1 on 1 Meeting Time,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1569248824,Configuration Set,Giving Recognition,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1569248834,Configuration Set,Soliciting Opinions,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1569248842,Configuration Set,Giving Opinions,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1569248858,Configuration Set,Positivity : Negativity Ratio,neutral
4lkOk8YRuv73AhsXp8Q0gQ,1569248868,Configuration Set,Avoiding After-Hours Messaging,neutral
4rJhwW5251o37ShidfdNww,1569003273,Proximity Set,,
4rJhwW5251o37ShidfdNww,1569003300,Work Hours Set,,
4rJhwW5251o37ShidfdNww,1572966325,Configuration Set,Responsiveness,high
4rJhwW5251o37ShidfdNww,1572966352,Configuration Set,Communication Frequency,neutral
4rJhwW5251o37ShidfdNww,1572966390,Configuration Set,1 on 1 Meeting Time,neutral
4rJhwW5251o37ShidfdNww,1572966435,Configuration Set,Giving Recognition,neutral
4rJhwW5251o37ShidfdNww,1572966469,Configuration Set,Soliciting Opinions,neutral
4rJhwW5251o37ShidfdNww,1572966520,Configuration Set,Giving Opinions,neutral
4rJhwW5251o37ShidfdNww,1572966564,Configuration Set,Positivity : Negativity Ratio,high
4rJhwW5251o37ShidfdNww,1572966585,Configuration Set,Avoiding After-Hours Messaging,neutral
4s3dViQP9uQpg8mhC5UANw,1568810612,Proximity Set,,
4s3dViQP9uQpg8mhC5UANw,1568810652,Work Hours Set,,
4s3dViQP9uQpg8mhC5UANw,1568942264,Configuration Set,Responsiveness,neutral
4s3dViQP9uQpg8mhC5UANw,1568942278,Configuration Set,Communication Frequency,neutral
4s3dViQP9uQpg8mhC5UANw,1568942287,Configuration Set,1 on 1 Meeting Time,neutral
4s3dViQP9uQpg8mhC5UANw,1568942311,Configuration Set,Giving Recognition,neutral
4s3dViQP9uQpg8mhC5UANw,1568942323,Configuration Set,Soliciting Opinions,neutral
4s3dViQP9uQpg8mhC5UANw,1568942332,Configuration Set,Giving Opinions,neutral
4s3dViQP9uQpg8mhC5UANw,1568942345,Configuration Set,Positivity : Negativity Ratio,neutral
4s3dViQP9uQpg8mhC5UANw,1568942355,Configuration Set,Avoiding After-Hours Messaging,neutral
4wlAQLlPMl8WdzIefYuUzA,1568901316,Proximity Set,,
4wlAQLlPMl8WdzIefYuUzA,1568901338,Work Hours Set,,
4wlAQLlPMl8WdzIefYuUzA,1569241287,Configuration Set,Responsiveness,neutral
4wlAQLlPMl8WdzIefYuUzA,1569241291,Configuration Set,Communication Frequency,neutral
4wlAQLlPMl8WdzIefYuUzA,1569241300,Configuration Set,1 on 1 Meeting Time,neutral
4wlAQLlPMl8WdzIefYuUzA,1569241308,Configuration Set,Giving Recognition,neutral
4wlAQLlPMl8WdzIefYuUzA,1569241314,Configuration Set,Soliciting Opinions,neutral
4wlAQLlPMl8WdzIefYuUzA,1569241320,Configuration Set,Giving Opinions,neutral
4wlAQLlPMl8WdzIefYuUzA,1569241349,Configuration Set,Positivity : Negativity Ratio,neutral
4wlAQLlPMl8WdzIefYuUzA,1569241355,Configuration Set,Avoiding After-Hours Messaging,neutral
5Kbssh0pUAnf4peHc6PrLg,1568761774,Proximity Set,,
5Kbssh0pUAnf4peHc6PrLg,1568761796,Work Hours Set,,
5T3quJ3eUIcDGraBfntPrQ,1568771922,Proximity Set,,
5T3quJ3eUIcDGraBfntPrQ,1568771939,Work Hours Set,,
5T3quJ3eUIcDGraBfntPrQ,1568840300,Configuration Set,Responsiveness,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840311,Configuration Set,Communication Frequency,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840319,Configuration Set,1 on 1 Meeting Time,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840319,Configuration Set,1 on 1 Meeting Time,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840327,Configuration Set,Giving Recognition,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840336,Configuration Set,Soliciting Opinions,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840344,Configuration Set,Giving Opinions,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840352,Configuration Set,Positivity : Negativity Ratio,neutral
5T3quJ3eUIcDGraBfntPrQ,1568840359,Configuration Set,Avoiding After-Hours Messaging,neutral
5XTrmFldipyg6bd3EO4xqQ,1569418520,Proximity Set,,
5XTrmFldipyg6bd3EO4xqQ,1569418554,Work Hours Set,,
5XTrmFldipyg6bd3EO4xqQ,1569856397,Configuration Set,Responsiveness,neutral
5XTrmFldipyg6bd3EO4xqQ,1569856405,Configuration Set,Communication Frequency,neutral
5XTrmFldipyg6bd3EO4xqQ,1569856412,Configuration Set,1 on 1 Meeting Time,neutral
5XTrmFldipyg6bd3EO4xqQ,1569856422,Configuration Set,Giving Recognition,neutral
5XTrmFldipyg6bd3EO4xqQ,1569856429,Configuration Set,Soliciting Opinions,neutral
5XTrmFldipyg6bd3EO4xqQ,1569856438,Configuration Set,Giving Opinions,neutral
5XTrmFldipyg6bd3EO4xqQ,1569856478,Configuration Set,Positivity : Negativity Ratio,high
5XTrmFldipyg6bd3EO4xqQ,1569856489,Configuration Set,Avoiding After-Hours Messaging,neutral
5poDS5fPuGBQdWY4kBhedA,1569603137,Proximity Set,,
5poDS5fPuGBQdWY4kBhedA,1569603166,Work Hours Set,,
5tvHnR9k4dYdEE4MRBBXlg,1568761035,Proximity Set,,
5tvHnR9k4dYdEE4MRBBXlg,1568761046,Work Hours Set,,
5tvHnR9k4dYdEE4MRBBXlg,1568934560,Configuration Set,Responsiveness,neutral
5tvHnR9k4dYdEE4MRBBXlg,1568934568,Configuration Set,Communication Frequency,neutral
5tvHnR9k4dYdEE4MRBBXlg,1568934580,Configuration Set,1 on 1 Meeting Time,neutral
5tvHnR9k4dYdEE4MRBBXlg,1568934589,Configuration Set,Giving Recognition,neutral
5tvHnR9k4dYdEE4MRBBXlg,1568934601,Configuration Set,Soliciting Opinions,neutral
5tvHnR9k4dYdEE4MRBBXlg,1568934608,Configuration Set,Giving Opinions,neutral
5tvHnR9k4dYdEE4MRBBXlg,1568934666,Configuration Set,Positivity : Negativity Ratio,neutral
5tvHnR9k4dYdEE4MRBBXlg,1568934676,Configuration Set,Avoiding After-Hours Messaging,neutral
5w4vVO1BIth8bUvFrRsSHw,1568982275,Group Members Excluded,,
5w4vVO1BIth8bUvFrRsSHw,1568982280,Proximity Set,,
5w4vVO1BIth8bUvFrRsSHw,1568982309,Work Hours Set,,
6_Y2t0p_5nw_Fk5DzpGbGA,1568819078,Proximity Set,,
6_Y2t0p_5nw_Fk5DzpGbGA,1568819092,Work Hours Set,,
6_Y2t0p_5nw_Fk5DzpGbGA,1568994106,Configuration Set,Responsiveness,neutral
6_Y2t0p_5nw_Fk5DzpGbGA,1568994115,Configuration Set,Communication Frequency,neutral
6_Y2t0p_5nw_Fk5DzpGbGA,1568994126,Configuration Set,1 on 1 Meeting Time,high
6_Y2t0p_5nw_Fk5DzpGbGA,1568994139,Configuration Set,Giving Recognition,high
6_Y2t0p_5nw_Fk5DzpGbGA,1568994147,Configuration Set,Soliciting Opinions,neutral
6_Y2t0p_5nw_Fk5DzpGbGA,1568994155,Configuration Set,Giving Opinions,neutral
6_Y2t0p_5nw_Fk5DzpGbGA,1568994163,Configuration Set,Positivity : Negativity Ratio,neutral
6_Y2t0p_5nw_Fk5DzpGbGA,1568994170,Configuration Set,Avoiding After-Hours Messaging,neutral
6_Y2t0p_5nw_Fk5DzpGbGA,1569424025,Feedback Submitted,Responsiveness,
6hlUsYFN9UgzwVZHKGOu8g,1569859653,Proximity Set,,
6hlUsYFN9UgzwVZHKGOu8g,1569859675,Work Hours Set,,
6hlUsYFN9UgzwVZHKGOu8g,1569876243,Configuration Set,Responsiveness,neutral
6hlUsYFN9UgzwVZHKGOu8g,1569876258,Configuration Set,Communication Frequency,neutral
6hlUsYFN9UgzwVZHKGOu8g,1569876267,Configuration Set,1 on 1 Meeting Time,neutral
6hlUsYFN9UgzwVZHKGOu8g,1569876280,Configuration Set,Giving Recognition,neutral
6hlUsYFN9UgzwVZHKGOu8g,1569876289,Configuration Set,Soliciting Opinions,neutral
6hlUsYFN9UgzwVZHKGOu8g,1569876299,Configuration Set,Giving Opinions,neutral
6hlUsYFN9UgzwVZHKGOu8g,1569876318,Configuration Set,Positivity : Negativity Ratio,neutral
6hlUsYFN9UgzwVZHKGOu8g,1569876329,Configuration Set,Avoiding After-Hours Messaging,neutral
6sPL5yGQP8XceuwmWiq86A,1569606807,Proximity Set,,
6sPL5yGQP8XceuwmWiq86A,1569606821,Work Hours Set,,
6sPL5yGQP8XceuwmWiq86A,1569644581,Feedback Submitted,Communication Frequency,
6sPL5yGQP8XceuwmWiq86A,1569644634,Feedback Submitted,Responsiveness,
6sPL5yGQP8XceuwmWiq86A,1569644683,Feedback Submitted,1 on 1 Meeting Time,
76Le7pmeWeSpZ9ORY58c3A,1569866096,Proximity Set,,
76Le7pmeWeSpZ9ORY58c3A,1569866116,Work Hours Set,,
76Le7pmeWeSpZ9ORY58c3A,1569891408,Configuration Set,Responsiveness,neutral
76Le7pmeWeSpZ9ORY58c3A,1569891420,Configuration Set,Communication Frequency,neutral
76Le7pmeWeSpZ9ORY58c3A,1569891456,Configuration Set,1 on 1 Meeting Time,neutral
76Le7pmeWeSpZ9ORY58c3A,1569891498,Configuration Set,Giving Recognition,neutral
76Le7pmeWeSpZ9ORY58c3A,1569891510,Configuration Set,Soliciting Opinions,neutral
76Le7pmeWeSpZ9ORY58c3A,1569891518,Configuration Set,Giving Opinions,neutral
76Le7pmeWeSpZ9ORY58c3A,1569891554,Configuration Set,Positivity : Negativity Ratio,neutral
76Le7pmeWeSpZ9ORY58c3A,1569891566,Configuration Set,Avoiding After-Hours Messaging,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569264097,Proximity Set,,
7Fk_jytZ0txVt1hPEyXzFA,1569264137,Proximity Set,,
7Fk_jytZ0txVt1hPEyXzFA,1569264152,Work Hours Set,,
7Fk_jytZ0txVt1hPEyXzFA,1569423887,Configuration Set,Responsiveness,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569423904,Configuration Set,Communication Frequency,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569423925,Configuration Set,1 on 1 Meeting Time,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569423937,Configuration Set,Giving Recognition,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569423952,Configuration Set,Soliciting Opinions,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569423975,Configuration Set,Giving Opinions,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569424002,Configuration Set,Positivity : Negativity Ratio,neutral
7Fk_jytZ0txVt1hPEyXzFA,1569424014,Configuration Set,Avoiding After-Hours Messaging,neutral
7IEM-TK3orWWoNdgAX-zQw,1568901304,Proximity Set,,
7IEM-TK3orWWoNdgAX-zQw,1568901333,Work Hours Set,,
7IEM-TK3orWWoNdgAX-zQw,1569328684,Configuration Set,Responsiveness,high
7IEM-TK3orWWoNdgAX-zQw,1569328692,Configuration Set,Communication Frequency,neutral
7IEM-TK3orWWoNdgAX-zQw,1569328706,Configuration Set,1 on 1 Meeting Time,neutral
7IEM-TK3orWWoNdgAX-zQw,1569328724,Configuration Set,Giving Recognition,high
7IEM-TK3orWWoNdgAX-zQw,1569328732,Configuration Set,Soliciting Opinions,high
7IEM-TK3orWWoNdgAX-zQw,1569328738,Configuration Set,Giving Opinions,high
7IEM-TK3orWWoNdgAX-zQw,1569328755,Configuration Set,Positivity : Negativity Ratio,high
7IEM-TK3orWWoNdgAX-zQw,1569328764,Configuration Set,Avoiding After-Hours Messaging,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568812727,Proximity Set,,
7ReWdqaX4_C3VXj7sNo0YQ,1568812767,Work Hours Set,,
7ReWdqaX4_C3VXj7sNo0YQ,1568985196,Configuration Set,Responsiveness,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568985214,Configuration Set,Communication Frequency,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568985226,Configuration Set,1 on 1 Meeting Time,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568985243,Configuration Set,Giving Recognition,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568985263,Configuration Set,Soliciting Opinions,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568985275,Configuration Set,Giving Opinions,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568985301,Configuration Set,Positivity : Negativity Ratio,neutral
7ReWdqaX4_C3VXj7sNo0YQ,1568985362,Configuration Set,Avoiding After-Hours Messaging,neutral
8URg3HySEtK5YYuV02H-Wg,1568807500,Proximity Set,,
8URg3HySEtK5YYuV02H-Wg,1568807506,Work Hours Set,,
8URg3HySEtK5YYuV02H-Wg,1568997871,Configuration Set,Responsiveness,neutral
8URg3HySEtK5YYuV02H-Wg,1568997877,Configuration Set,Communication Frequency,neutral
8URg3HySEtK5YYuV02H-Wg,1568997887,Configuration Set,1 on 1 Meeting Time,neutral
8URg3HySEtK5YYuV02H-Wg,1568997895,Configuration Set,Giving Recognition,neutral
8URg3HySEtK5YYuV02H-Wg,1568997905,Configuration Set,Soliciting Opinions,neutral
8URg3HySEtK5YYuV02H-Wg,1568997915,Configuration Set,Giving Opinions,neutral
8URg3HySEtK5YYuV02H-Wg,1568997927,Configuration Set,Positivity : Negativity Ratio,neutral
8URg3HySEtK5YYuV02H-Wg,1568997938,Configuration Set,Avoiding After-Hours Messaging,neutral
9IboFu7dQK_y2Pn4LAxutQ,1568839396,Proximity Set,,
9IboFu7dQK_y2Pn4LAxutQ,1568839428,Work Hours Set,,
9IboFu7dQK_y2Pn4LAxutQ,1569257715,Configuration Set,Responsiveness,neutral
9IboFu7dQK_y2Pn4LAxutQ,1569257725,Configuration Set,Communication Frequency,neutral
9IboFu7dQK_y2Pn4LAxutQ,1569257735,Configuration Set,1 on 1 Meeting Time,neutral
9IboFu7dQK_y2Pn4LAxutQ,1569257753,Configuration Set,Giving Recognition,neutral
9IboFu7dQK_y2Pn4LAxutQ,1569257766,Configuration Set,Soliciting Opinions,neutral
9IboFu7dQK_y2Pn4LAxutQ,1569257774,Configuration Set,Giving Opinions,neutral
9IboFu7dQK_y2Pn4LAxutQ,1569257786,Configuration Set,Positivity : Negativity Ratio,neutral
9IboFu7dQK_y2Pn4LAxutQ,1569257795,Configuration Set,Avoiding After-Hours Messaging,neutral
9aE9ZbPXo7zkgzAi-G510g,1568824837,Proximity Set,,
9aE9ZbPXo7zkgzAi-G510g,1568824848,Work Hours Set,,
9aE9ZbPXo7zkgzAi-G510g,1568990506,Configuration Set,Responsiveness,neutral
9aE9ZbPXo7zkgzAi-G510g,1568990513,Configuration Set,Communication Frequency,neutral
9aE9ZbPXo7zkgzAi-G510g,1568990528,Configuration Set,1 on 1 Meeting Time,neutral
9aE9ZbPXo7zkgzAi-G510g,1568990553,Configuration Set,Giving Recognition,neutral
9aE9ZbPXo7zkgzAi-G510g,1568990558,Configuration Set,Soliciting Opinions,neutral
9aE9ZbPXo7zkgzAi-G510g,1568990563,Configuration Set,Giving Opinions,neutral
9aE9ZbPXo7zkgzAi-G510g,1568990576,Configuration Set,Positivity : Negativity Ratio,neutral
9aE9ZbPXo7zkgzAi-G510g,1568990588,Configuration Set,Avoiding After-Hours Messaging,neutral
9aE9ZbPXo7zkgzAi-G510g,1570119706,Feedback Submitted,Communication Frequency,
9aE9ZbPXo7zkgzAi-G510g,1570464779,Feedback Submitted,1 on 1 Meeting Time,
9d-FLDfRYttiUnsUtaRIWQ,1568994438,Proximity Set,,
9d-FLDfRYttiUnsUtaRIWQ,1568994453,Work Hours Set,,
9d-FLDfRYttiUnsUtaRIWQ,1569302973,Configuration Set,Responsiveness,neutral
9d-FLDfRYttiUnsUtaRIWQ,1569302986,Configuration Set,Communication Frequency,neutral
9d-FLDfRYttiUnsUtaRIWQ,1569302995,Configuration Set,1 on 1 Meeting Time,neutral
9d-FLDfRYttiUnsUtaRIWQ,1569303009,Configuration Set,Giving Recognition,neutral
